"0","5205","上海市"
"0","5224","云南省"
"0","5217","内蒙古自治区"
"0","5213","北京市"
"0","5229","吉林省"
"0","5223","四川省"
"0","5214","天津市"
"0","5218","宁夏自治区"
"0","5202","安徽省"
"0","5200","山东省"
"0","5216","山西省"
"0","5206","广东省"
"0","5207","广西自治区"
"0","5219","新疆自治区"
"0","5201","江苏省"
"0","5212","江西省"
"0","5215","河北省"
"0","5211","河南省"
"0","5203","浙江省"
"0","5208","海南省"
"0","5209","湖北省"
"0","5210","湖南省"
"0","5222","甘肃省"
"0","5204","福建省"
"0","5226","西藏自治区"
"0","5225","贵州省"
"0","5228","辽宁省"
"0","5227","重庆市"
"0","5221","陕西省"
"0","5220","青海省"
"0","5230","黑龙江省"
